"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","16-17","S.J","G",20,1110.55,36.83,529.11,751.2,46.19,93.04,95.1,93.85,1.25,8.91,9.36
"Aaron Dell","17-18","S.J","G",29,1522.08,66.42,763.42,1064.21,67.52,91.3,93.76,93.66,0.1,0.54,1.1
"Aaron Dell","18-19","S.J","G",25,1323.28,68.73,613.65,857.04,61.18,88.8,91.98,92.86,-0.88,-13.41,-7.55
"Aaron Dell","19-20","S.J","G",33,1834.23,91.06,994.37,1352.1,92.16,90.84,93.27,93.18,0.08,-1.2,1.1
"Aaron Dell","20-21","N.J","G",7,319.17,21.45,153.29,210.23,11.91,86.01,89.8,94.33,-4.54,-7.35,-9.54
"Aaron Dell","21-22","BUF","G",12,565.38,37.95,356.65,467.99,30.45,89.36,91.89,93.49,-1.6,-4.85,-7.5
"Aaron Dell","22-23","S.J","G",4,199.28,8.82,104.75,133.98,11.7,91.58,93.42,91.27,2.15,1.2,2.88
"Adam Huska","21-22","NYR","G",1,59.7,7.53,42.56,55.97,3.5,82.31,86.55,93.75,-7.2,-3.58,-4.03
"Adam Werner","19-20","COL","G",2,87.83,4.85,54.22,65.83,3.76,91.05,92.63,94.29,-1.66,0.05,-1.09
"Adin Hill","17-18","ARI","G",4,240.75,14.13,133.5,187.57,13.54,89.42,92.47,92.78,-0.31,-2.42,-0.59
"Adin Hill","18-19","ARI","G",13,696.35,32,320.92,469.67,31.05,90.03,93.19,93.39,-0.2,-3.07,-0.95
"Adin Hill","19-20","ARI","G",13,640.77,27.41,344.91,489.51,27.68,92.05,94.4,94.35,0.06,3.75,0.27
"Adin Hill","20-21","ARI","G",19,1005.9,45.09,525.84,721.37,44.98,91.43,93.75,93.76,-0.02,3.31,-0.11
"Adin Hill","21-22","S.J","G",25,1375.95,62.41,665.7,927.62,55.5,90.62,93.27,94.02,-0.74,-0.63,-6.91
"Adin Hill","22-23","VGK","G",27,1490.9,61.93,728.23,1053.69,69.47,91.5,94.12,93.41,0.72,7.73,7.54
"Adin Hill","23-24","VGK","G",35,1968.82,89.98,982.57,1465.78,97.77,90.84,93.86,93.33,0.53,4.96,7.79
"Adin Hill","24-25","VGK","G",50,2940.22,121.28,1286.52,2013.72,133.07,90.57,93.98,93.39,0.59,7.46,11.79
"Akira Schmid","21-22","N.J","G",6,235.98,18.53,114.44,150.54,8.87,83.81,87.69,94.11,-6.42,-7.9,-9.66
"Akira Schmid","22-23","N.J","G",18,901.35,32.12,404.49,575.42,40.59,92.06,94.42,92.95,1.47,6.57,8.47
