Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
1,A.J. Greer,23-24,CGY,L,59,521.07,6,3,3,12,57,79,111,6.68,10.53,7.59,8.46,24,16,18,100,46,10,9,3,3,-1,4,4,0
2,Aaron Ekblad,23-24,FLA,D,51,1064,4,6,8,18,98,151,226,6.13,4.08,2.65,4.06,59,26,14,82,50,20,6,0,0,-14,0,0,0
3,Adam Beckman,23-24,MIN,L,11,103.48,0,1,1,2,10,17,23,0.98,0,0,5.76,3,0,2,13,8,1,2,0,0,1,0,0,0
4,Adam Boqvist,23-24,CBJ,D,35,639.92,1,5,4,10,45,73,121,3.49,2.22,1.37,4.78,42,16,7,11,37,0,4,0,0,4,0,0,0
5,Adam Edstrom,23-24,NYR,C,11,92.52,2,0,0,2,7,8,10,1.07,28.57,25,13.38,2,4,1,26,11,1,3,0,0,2,0,0,0
6,Adam Erne,23-24,EDM,L,24,187.65,1,1,0,2,13,17,27,1.49,7.69,5.88,8.76,5,4,4,68,20,2,1,1,1,-1,4,5,-1
7,Adam Fantilli,23-24,CBJ,C,49,769.8,12,10,5,27,115,170,247,12.65,10.43,7.06,7.44,25,15,18,63,61,8,13,0,0,5,171,221,-50
8,Adam Fox,23-24,NYR,D,72,1687.93,17,25,31,73,137,195,299,10.71,12.41,8.72,5.49,123,33,47,42,86,19,22,0,0,3,0,0,0
9,Adam Ginning,23-24,PHI,D,9,127.38,1,0,0,1,6,8,15,0.13,16.67,12.5,1.62,9,6,2,18,9,0,0,0,0,0,0,0,0
10,Adam Henrique,23-24,ANA,C,60,1055.47,18,13,11,42,111,174,220,17.47,16.22,10.34,10.04,57,11,24,58,50,9,8,1,1,-1,482,429,53
11,Adam Henrique,23-24,EDM,C,22,326.17,6,2,1,9,28,48,55,4.92,21.43,12.5,10.25,21,7,6,42,16,2,4,0,0,2,94,77,17
12,Adam Larsson,23-24,SEA,D,81,1858.55,4,5,9,18,130,187,304,7.45,3.08,2.14,3.98,151,18,22,158,81,20,12,1,0,-9,0,0,0
13,Adam Lowry,23-24,WPG,C,81,1304.43,12,15,8,35,119,193,236,21.63,10.08,6.22,11.21,65,17,38,174,117,11,12,7,7,1,676,704,-28
14,Adam Pelech,23-24,NYI,D,58,1176.6,1,8,7,16,71,120,188,3.52,1.41,0.83,2.93,111,31,14,63,73,11,10,1,2,0,0,0,0
15,Adam Ruzicka,23-24,CGY,C,39,396.27,3,4,2,9,34,51,72,3.14,8.82,5.88,6.16,15,10,5,10,21,3,5,0,0,2,76,81,-5
16,Adrian Kempe,23-24,L.A,R,77,1457.92,28,25,22,75,246,352,499,25.66,11.38,7.95,7.29,32,24,31,108,73,31,34,0,0,3,3,10,-7
17,Akil Thomas,23-24,L.A,C,7,60.85,3,0,1,4,9,12,16,0.88,33.33,25,7.33,3,0,2,7,10,1,4,0,0,3,4,6,-2
18,Alec Martinez,23-24,VGK,D,55,1047.43,4,5,8,17,72,107,182,2.73,5.56,3.74,2.55,165,25,12,31,87,3,5,0,0,2,0,0,0
19,Aleksander Barkov,23-24,FLA,C,73,1433.48,22,35,22,79,193,284,372,25.66,11.4,7.75,9.04,50,31,61,99,93,12,16,0,0,4,630,470,160
20,Alex Alexeyev,23-24,WSH,D,39,534.15,1,1,1,3,20,30,60,0.51,5,3.33,1.7,59,12,4,45,58,4,0,0,0,-4,0,0,0
21,Alex Barabanov,23-24,S.J,L,46,730.13,4,3,6,13,67,109,140,10.13,5.97,3.67,9.29,15,15,18,25,59,6,5,0,0,-1,2,3,-1
22,Alex Barre-Boulet,23-24,T.B,C,36,402.8,6,2,1,9,46,70,81,6.03,13.04,8.57,8.61,8,9,14,26,16,5,6,0,0,1,14,14,0
23,Alex Carrier,23-24,NSH,D,73,1372.42,4,7,9,20,77,120,174,4.06,5.19,3.33,3.38,137,22,16,60,185,23,13,0,0,-10,0,0,0
24,Alex Debrincat,23-24,DET,R,82,1467.15,27,26,14,67,237,350,482,27.79,11.39,7.71,7.94,35,39,49,62,63,12,21,2,2,9,16,22,-6
25,Alex Goligoski,23-24,MIN,D,36,533.1,0,7,3,10,32,51,80,2.12,0,0,4.16,41,12,3,27,29,9,4,0,0,-5,0,0,0
26,Alex Holtz,23-24,N.J,R,82,954,16,6,6,28,122,180,243,12.27,13.11,8.89,6.82,17,21,10,43,75,7,3,0,0,-4,8,19,-11
27,Alex Iafallo,23-24,WPG,L,82,1255.7,11,10,6,27,120,195,249,17.54,9.17,5.64,8.99,67,20,28,43,72,3,10,0,0,7,8,17,-9
28,Alex Kerfoot,23-24,ARI,C,82,1429.6,13,21,11,45,104,163,195,19.87,12.5,7.98,12.19,76,27,42,74,129,13,18,0,0,5,412,450,-38
29,Alex Killorn,23-24,ANA,C/L,63,1180.1,18,14,4,36,145,203,275,20.25,12.41,8.87,9.98,25,33,29,69,67,22,11,0,0,-11,14,25,-11
30,Alex Laferriere,23-24,L.A,R,81,1070.8,12,7,4,23,146,236,318,16.59,8.22,5.08,7.03,27,26,21,109,120,18,17,2,2,-1,7,6,1
31,Alex Newhook,23-24,MTL,C,55,930.95,15,7,12,34,85,131,181,12.76,17.65,11.45,9.74,31,30,21,36,64,10,10,0,0,0,229,263,-34
32,Alex Nylander,23-24,CBJ,L,23,385.6,11,2,2,15,62,89,112,8.93,17.74,12.36,10.03,9,7,6,10,15,3,2,0,0,-1,6,10,-4
33,Alex Nylander,23-24,PIT,L,5,69.37,0,0,0,0,10,13,16,1.1,0,0,8.46,3,2,0,3,6,0,1,0,0,1,3,0,3
34,Alex Ovechkin,23-24,WSH,L,79,1518.47,31,21,13,65,272,395,605,32.58,11.4,7.85,8.25,27,35,26,161,40,10,11,0,0,1,0,2,-2
35,Alex Pietrangelo,23-24,VGK,D,64,1508.2,4,16,13,33,141,206,317,7.35,2.84,1.94,3.57,160,40,50,45,123,7,11,0,0,4,0,0,0
36,Alex Romanov,23-24,NYI,D,81,1688.07,7,7,8,22,117,164,258,3.61,5.98,4.27,2.2,171,53,25,154,156,10,9,0,0,-1,0,0,0
37,Alex Texier,23-24,CBJ,C,78,1184.1,12,11,7,30,109,157,235,10.72,11.01,7.64,6.83,36,16,21,53,30,19,11,0,0,-8,6,13,-7
38,Alex Tuch,23-24,BUF,R,75,1462.78,22,20,17,59,192,287,356,24.49,11.46,7.67,8.53,82,31,81,72,49,17,14,2,2,-3,42,63,-21
39,Alex Turcotte,23-24,L.A,C,20,185.63,1,0,3,4,14,27,36,2.54,7.14,3.7,9.41,10,1,6,7,34,3,3,0,0,0,21,21,0
40,Alex Vlasic,23-24,CHI,D,76,1632.38,2,5,9,16,71,102,168,3.68,2.82,1.96,3.61,148,47,60,55,108,10,7,3,3,-3,0,0,0
41,Alex Wennberg,23-24,NYR,C,19,292,1,1,3,5,10,16,24,1.68,10,6.25,10.5,10,4,6,8,28,0,3,0,0,3,82,100,-18
42,Alex Wennberg,23-24,SEA,C,60,1129.12,9,10,6,25,81,104,128,12.67,11.11,8.65,12.18,65,18,40,35,50,7,15,0,0,8,470,536,-66
43,Alexei Toropchenko,23-24,STL,R,82,1026.8,14,5,2,21,114,146,179,16,12.28,9.59,10.96,55,13,21,164,103,15,18,0,0,3,0,3,-3
44,Alexis Lafrenière,23-24,NYR,L,82,1415.9,28,20,9,57,217,318,400,28.41,12.9,8.81,8.93,21,27,45,71,120,15,25,0,0,10,17,49,-32
45,Aliaksei Protas,23-24,WSH,C,78,1072.2,6,13,10,29,113,167,203,13.7,5.31,3.59,8.2,49,33,44,34,87,4,10,0,0,6,42,62,-20
46,Anders Lee,23-24,NYI,L,81,1260.93,20,3,14,37,185,281,329,33.79,10.81,7.12,12.02,54,19,27,171,99,19,12,4,3,-8,19,25,-6
47,Andre Burakovsky,23-24,SEA,L,49,713.68,7,5,4,16,92,131,207,9.11,7.61,5.34,6.95,14,11,24,13,50,7,8,0,0,1,3,3,0
48,Andreas Athanasiou,23-24,CHI,C,28,366.73,2,4,3,9,44,57,80,3.82,4.55,3.51,6.7,21,7,19,10,14,1,6,1,1,5,76,88,-12
49,Andreas Englund,23-24,L.A,D,82,1084.23,1,2,7,10,42,57,111,1.43,2.38,1.75,2.51,87,22,8,183,116,13,14,11,11,1,0,0,0
50,Andrei Kuzmenko,23-24,CGY,L,29,454.55,14,6,5,25,58,84,115,7.79,24.14,16.67,9.27,7,9,17,5,29,3,6,0,0,3,0,0,0
51,Andrei Kuzmenko,23-24,VAN,L,43,617.12,8,7,6,21,63,113,150,10.95,12.7,7.08,9.69,10,15,10,9,48,3,9,0,0,6,1,0,1
52,Andrei Svechnikov,23-24,CAR,R,59,1000.98,19,18,15,52,144,223,305,21.33,13.19,8.52,9.57,22,43,25,138,98,29,14,0,0,-15,4,4,0
53,Andrew Cogliano,23-24,COL,C,75,795.73,6,10,3,19,62,81,104,5.21,9.68,7.41,6.43,40,14,13,33,55,9,18,0,0,9,54,109,-55
54,Andrew Copp,23-24,DET,C,79,1285.67,13,11,9,33,109,152,193,13.93,11.93,8.55,9.16,51,31,26,34,57,13,10,0,0,-3,536,465,71
