"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Adin Hill","25-26","VGK","G",19,1061.08,54.29,420.95,683.68,49.08,87.1,92.06,92.82,-0.76,-10.44,-5.21
"Akira Schmid","25-26","VGK","G",32,1860.55,81.55,765.61,1251.65,88.86,89.35,93.48,92.9,0.58,-1.8,7.31
"Aleksei Kolosov","25-26","PHI","G",4,120.02,8.25,51.27,73.31,6.4,83.91,88.75,91.27,-2.52,-2.9,-1.85
"Alex Lyon","25-26","BUF","G",32,1806.92,78.99,894.39,1373.9,105.23,91.17,94.25,92.34,1.91,14.18,26.24
"Alex Nedeljkovic","25-26","S.J","G",29,1645.7,76.77,787.07,1164.43,86.48,90.25,93.41,92.57,0.83,5.22,9.71
"Andrei Vasilevskiy","25-26","T.B","G",45,2656.23,103.12,1166.26,1729.07,138.16,91.16,94.04,92.01,2.03,18.37,35.04
"Anthony Stolarz","25-26","TOR","G",22,1204.8,67.92,642.56,936.35,70.58,89.43,92.75,92.46,0.28,-0.99,2.66
"Anton Forsberg","25-26","L.A","G",28,1588.43,74.92,752.75,1158.58,88.72,90.05,93.53,92.34,1.19,3.49,13.8
"Arturs Silovs","25-26","PIT","G",32,1865.12,91.39,857.03,1319.09,102.42,89.34,93.07,92.24,0.84,-2.11,11.03
"Arvid Soderblom","25-26","CHI","G",20,1166.2,72.01,582.44,889.62,72.17,87.64,91.91,91.89,0.02,-11.34,0.16
"Brandon Bussi","25-26","CAR","G",31,1874.63,73.37,697.47,1047.09,86.24,89.48,92.99,91.76,1.23,-0.72,12.87
"Calvin Pickard","25-26","EDM","G",16,864.13,53.62,415.3,619.57,54.14,87.09,91.35,91.26,0.08,-10.35,0.52
"Cam Talbot","25-26","DET","G",28,1524.47,77.28,710.3,1087.18,76.74,89.12,92.89,92.94,-0.05,-3.29,-0.54
"Carl Lindbom","25-26","VGK","G",8,480.67,24.53,192.38,313.27,23.28,87.25,92.17,92.57,-0.4,-4.49,-1.25
"Carter Hart","25-26","VGK","G",12,659.3,35.77,276.82,430.11,32.82,87.08,91.68,92.37,-0.69,-6.94,-2.95
"Casey Desmith","25-26","DAL","G",25,1478.02,58.75,618.19,956.95,73.18,90.5,93.86,92.35,1.51,5.65,14.43
"Cayden Primeau","25-26","TOR","G",3,181.47,13.08,81.28,116.85,7.35,83.91,88.81,93.71,-4.9,-4.62,-5.73
"Charlie Lindgren","25-26","WSH","G",20,1186.03,64.56,567.34,870.17,67.46,88.62,92.58,92.25,0.33,-5.47,2.9
"Clay Stevenson","25-26","WSH","G",3,180.12,7.13,75.66,134.82,9.67,90.58,94.71,92.83,1.88,0.75,2.54
"Colten Ellis","25-26","BUF","G",13,732.2,37.81,365.68,535.14,40.85,89.66,92.93,92.37,0.57,0.29,3.04
"Connor Hellebuyck","25-26","WPG","G",44,2635.58,121.41,1214.44,1837.67,146.69,90,93.39,92.02,1.38,5.1,25.28
"Connor Ingram","25-26","EDM","G",21,1134.75,51.86,481.78,744.91,54.19,89.24,93.04,92.73,0.31,-1.67,2.33
"Dan Vladar","25-26","PHI","G",41,2367.73,97.61,1033.05,1620.65,118.48,90.55,93.98,92.69,1.29,10.01,20.87
"Daniil Tarasov (G)","25-26","FLA","G",23,1337.63,65.85,638.48,967.73,70.09,89.69,93.2,92.76,0.44,0.66,4.24
"Darcy Kuemper","25-26","L.A","G",42,2406.8,105.77,1043.79,1584.14,117.56,89.87,93.32,92.58,0.74,2.96,11.79
"David Rittich","25-26","NYI","G",26,1554.58,69.77,686.27,1124.08,86.1,89.83,93.79,92.34,1.45,1.72,16.33
"Dennis Hildeby","25-26","TOR","G",19,950.6,45.94,520.19,813.83,62.42,91.17,94.36,92.33,2.02,8.25,16.48
"Devin Cooley","25-26","CGY","G",24,1294.45,54.4,630.85,955.78,78.97,91.38,94.31,91.74,2.57,11.32,24.57
"Drew Commesso","25-26","CHI","G",3,181.72,7.47,87.1,130.45,9.42,91.42,94.27,92.78,1.49,1.61,1.95
"Dustin Wolf","25-26","CGY","G",49,2719,136.84,1326.55,1985.81,148.77,89.68,93.11,92.51,0.6,1.34,11.93
"Elvis Merzlikins","25-26","CBJ","G",27,1499.57,82.82,715.38,1098.12,82.68,88.42,92.46,92.47,-0.01,-8.3,-0.14
"Eric Comrie","25-26","WPG","G",21,1177.45,58.08,547.07,848.93,64.92,89.38,93.16,92.35,0.81,-1.09,6.84
"Filip Gustavsson","25-26","MIN","G",42,2492.15,103.93,1163.35,1776.73,124.35,91.07,94.15,93,1.15,17.25,20.42
"Frederik Andersen","25-26","CAR","G",27,1626.32,85.89,666.97,1026.33,90.77,87.12,91.63,91.16,0.48,-16.41,4.88
