"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"A.J. Greer","25-26","FLA","L",65,732.45,52.07,53.95,53.35,53.97,51.37,2.81,2.58,26.73,22.82,41.77,36.52,58.37,49.78,2.65,2.51,0.22,3.91,5.25,8.59,0.14,10.5,88.68
"Aaron Ekblad","25-26","FLA","D",64,1051,48.13,51.01,51.38,51.94,49.61,2.81,3.03,28.29,27.16,42.97,40.65,59.26,54.84,2.9,2.95,-0.22,1.12,2.32,4.42,-0.05,9.94,88.85
"Aatu Raty","25-26","VAN","C",50,546.1,49.71,46.02,46.75,47.46,43.04,1.95,1.97,21.95,25.74,38.57,43.92,54.11,59.9,2.37,3.14,-0.02,-3.8,-5.35,-5.79,-0.77,8.88,92.34
"Adam Boqvist","25-26","NYI","D",21,250.4,39.61,38.95,40.46,39.69,44.17,1.72,2.62,21.01,32.93,33.39,49.13,46.65,70.89,2.62,3.31,-0.9,-11.92,-15.74,-24.23,-0.69,8.18,92.05
"Adam Edstrom","25-26","NYR","C",31,297.83,55.98,45.57,48.05,48.97,48.71,2.29,1.8,24.74,29.54,38.33,41.45,56.3,58.66,2.54,2.68,0.49,-4.8,-3.12,-2.36,-0.13,9.26,93.9
"Adam Engstrom","25-26","MTL","D",11,136.78,76.32,48.23,51.6,52.45,46.76,2.73,0.85,20.61,22.13,37.08,34.79,51.73,46.89,2.25,2.56,1.88,-1.51,2.29,4.84,-0.31,13.24,96.17
"Adam Erne","25-26","DAL","L",33,319.6,54.03,49.71,47.11,47.31,51.28,2.24,1.91,20.68,20.92,30.95,34.75,45.45,50.62,2.41,2.29,0.33,-0.24,-3.79,-5.17,0.12,10.83,90.89
"Adam Fantilli","25-26","CBJ","C",66,995.1,47.15,51.88,51.94,53.05,52.39,2.6,2.91,29.64,27.49,45.51,42.11,63.83,56.49,3.15,2.86,-0.31,2.15,3.39,7.34,0.29,8.77,89.4
"Adam Fox","25-26","NYR","D",40,746.08,59.43,51.94,54.87,55.91,57.72,2.7,1.84,26.65,24.67,44.23,36.38,63.93,50.42,3.02,2.21,0.86,1.99,7.86,13.51,0.81,10.13,92.53
"Adam Gaudette","25-26","S.J","R",52,543,41.94,42.03,42.92,43.62,46.53,2.24,3.1,22.7,31.31,34.38,45.73,48.93,63.25,2.47,2.84,-0.86,-8.61,-11.35,-14.31,-0.37,9.85,90.11
"Adam Ginning","25-26","PHI","D",5,65.75,50.37,26.36,29.32,34.05,40.64,1.87,1.84,10.95,30.6,20.85,50.25,33.57,65.02,1.51,2.2,0.03,-19.65,-29.4,-31.45,-0.69,17.08,93.98
"Adam Henrique","25-26","EDM","C",51,554.42,30.04,50.05,49.96,47.82,47.92,1.19,2.77,22.88,22.83,35.77,35.84,49.82,54.35,2.35,2.55,-1.58,0.04,-0.06,-4.54,-0.2,5.19,87.88
"Adam Klapka","25-26","CGY","R",65,648.12,47.51,48.23,48.77,48.38,46.45,1.82,2.01,23.97,25.73,38.53,40.47,56.59,60.37,2.43,2.81,-0.19,-1.76,-1.94,-3.78,-0.37,7.58,92.2
"Adam Larsson","25-26","SEA","D",66,1197.25,43.43,45.68,44.51,43.91,42.44,2.04,2.66,23.58,28.04,36.35,45.33,50.04,63.92,2.38,3.23,-0.62,-4.46,-8.97,-13.89,-0.85,8.67,90.51
"Adam Lowry","25-26","WPG","C",54,662.57,51.5,50.99,50.49,51.27,47.92,2.1,1.98,24.68,23.73,38.17,37.42,53.31,50.68,2.61,2.84,0.12,0.96,0.75,2.64,-0.23,8.51,91.67
"Adam Pelech","25-26","NYI","D",67,1163.13,49.66,53.26,52.57,52.28,51.16,2.2,2.23,27.5,24.14,43.42,39.17,60.08,54.84,2.91,2.77,-0.03,3.36,4.25,5.24,0.13,8,90.75
"Adam Wilsby","25-26","NSH","D",45,676.52,42.89,48.55,48.63,50.59,48.74,1.87,2.48,25.99,27.54,38.89,41.09,54.79,53.5,2.71,2.85,-0.62,-1.55,-2.2,1.28,-0.14,7.18,90.98
"Adrian Kempe","25-26","L.A","R",66,929.58,55.31,49.68,50.47,51.32,45.57,2.66,2.15,26.12,26.46,41.29,40.52,60.3,57.19,2.46,2.94,0.51,-0.34,0.78,3.11,-0.48,10.19,91.87
"Albert Johansson","25-26","DET","D",68,964.1,41.06,45.56,47.23,46.62,49.59,1.74,2.49,23.71,28.34,38.87,43.43,54.04,61.88,2.62,2.66,-0.76,-4.63,-4.56,-7.84,-0.04,7.32,91.21
"Alec Regula","25-26","EDM","D",29,391.02,24.91,50.32,50.19,47.99,51.97,1.27,3.83,27.3,26.96,41.43,41.11,54.78,59.37,2.78,2.57,-2.56,0.35,0.32,-4.6,0.21,4.65,85.81
"Alex Bump","25-26","PHI","L",5,60.8,64.78,49.56,42.79,43.66,40.79,1.92,1.05,21.45,21.84,30.82,41.21,42.27,54.55,1.84,2.66,0.88,-0.38,-10.39,-12.29,-0.83,8.97,95.21
"Alex Carrier","25-26","MTL","D",66,1011.52,49.31,48.99,48.86,48.43,49.09,2.91,3,24.85,25.88,38.4,40.19,54.69,58.24,2.76,2.86,-0.08,-1.03,-1.79,-3.55,-0.1,11.73,88.42
"Alex Debrincat","25-26","DET","R",68,936.98,54.05,54.19,53.99,51,55.57,2.98,2.53,32.44,27.43,47.37,40.36,61.68,59.26,3.25,2.59,0.45,5.01,7,2.42,0.65,9.17,90.78
"Alex Holtz","25-26","VGK","R",28,304.95,48.19,44.43,45.63,45.9,52.68,2.76,2.96,21.17,26.48,35.34,42.11,51.31,60.47,2.92,2.62,-0.21,-5.31,-6.77,-9.16,0.3,13.02,88.81
"Alex Iafallo","25-26","WPG","L",66,820.72,49.33,47.8,48.23,49.69,44.78,2.41,2.47,22.64,24.72,35.6,38.2,52.78,53.44,2.29,2.82,-0.07,-2.09,-2.61,-0.66,-0.53,10.64,89.99
"Alex Kerfoot","25-26","UTA","C",20,193.97,36.78,41.78,47.24,49.63,45.75,1.26,2.16,16.76,23.35,30.99,34.61,50.71,51.46,1.95,2.31,-0.9,-6.6,-3.63,-0.75,-0.36,7.49,90.75
"Alex Killorn","25-26","ANA","L",67,813.38,47.2,53.35,51.27,51.07,50.49,2.06,2.3,30.01,26.24,45.12,42.89,61.77,59.19,3.13,3.07,-0.24,3.77,2.24,2.58,0.06,6.86,91.22
"Alex Laferriere","25-26","L.A","R",67,912.92,52.2,50.68,52.07,53.24,50.43,2.27,2.08,27.5,26.76,43.86,40.37,63.04,55.37,2.56,2.51,0.19,0.74,3.49,7.67,0.04,8.27,92.22
"Alex Newhook","25-26","MTL","C",26,308.45,60.81,43.42,44.6,45.47,45.02,3.87,2.49,20.31,26.47,33.7,41.86,47.71,57.22,2.28,2.79,1.38,-6.16,-8.16,-9.51,-0.51,19.05,90.58
"Alex Nikishin","25-26","CAR","D",65,971.93,56.62,55.49,56.55,58.63,55.22,2.83,2.17,31.25,25.07,48.91,37.58,70.34,49.64,3.34,2.71,0.66,6.19,11.33,20.7,0.63,9.05,91.35
"Alex Ovechkin","25-26","WSH","L",68,833.17,56.59,47.65,49.44,50.29,50.89,3.1,2.38,27.29,29.97,43.66,44.65,60.9,60.2,3.14,3.03,0.72,-2.69,-0.99,0.7,0.11,11.36,92.06
"Alex Petrovic","25-26","DAL","D",51,753.95,52.1,48.63,45.03,44.92,47.52,2.68,2.46,25.92,27.38,34.35,41.93,49.03,60.12,2.54,2.81,0.22,-1.46,-7.58,-11.09,-0.27,10.34,91
"Alex Romanov","25-26","NYI","D",15,246.68,28.96,39.82,42.24,42.07,33.15,1.43,3.51,23.07,34.86,36.54,49.97,49.31,67.91,2.1,4.23,-2.08,-11.79,-13.43,-18.6,-2.13,6.21,89.92
"Alex Steeves","25-26","BOS","C",41,422.47,55.08,51.05,50.59,49.26,51.18,2.56,2.09,27.63,26.49,40.19,39.25,56.58,58.28,2.59,2.47,0.47,1.14,0.94,-1.7,0.12,9.27,92.11
