"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"A.J. Greer","25-26","FLA","L",65,768.67,11,6,5,22,83,132,158,12.91,13.25,8.33,9.78,22,41,8,173,72,26,21,6,6,-5,3,14,-11
"Aaron Ekblad","25-26","FLA","D",64,1444.08,3,13,9,25,85,136,214,4.71,3.53,2.21,3.46,98,62,17,78,50,25,12,1,1,-13,0,1,-1
"Aatu Raty","25-26","VAN","C",50,602.1,3,5,4,12,50,94,113,7.37,6,3.19,7.84,10,28,8,119,29,11,5,0,0,-6,338,220,118
"Adam Boqvist","25-26","NYI","D",21,263.78,0,0,1,1,8,13,27,0.76,0,0,5.85,18,9,4,10,28,3,0,0,0,-3,0,0,0
"Adam Edstrom","25-26","NYR","C",31,301.93,3,2,0,5,28,39,49,3.85,10.71,7.69,9.87,19,15,5,54,15,1,1,0,0,0,4,5,-1
"Adam Engstrom","25-26","MTL","D",11,137.93,0,0,0,0,7,12,19,0.34,0,0,2.83,5,6,2,4,13,3,1,0,0,-2,0,0,0
"Adam Erne","25-26","DAL","L",33,322.97,5,0,1,6,33,52,70,4.97,15.15,9.62,9.56,12,13,5,108,18,5,5,1,1,0,2,6,-4
"Adam Fantilli","25-26","CBJ","C",66,1238.33,19,15,13,47,172,262,371,24.89,11.05,7.25,9.5,41,78,21,106,59,11,16,2,2,5,449,444,5
"Adam Fox","25-26","NYR","D",40,946.87,5,11,19,35,68,115,198,6.36,7.35,4.35,5.53,57,47,30,18,61,8,5,0,0,-3,0,0,0
"Adam Gaudette","25-26","S.J","R",52,615.28,14,3,4,21,78,112,147,11.3,17.95,12.5,10.09,24,17,10,44,45,8,5,0,0,-3,102,111,-9
"Adam Ginning","25-26","PHI","D",5,76.7,0,0,0,0,2,5,9,0.08,0,0,1.6,5,5,0,4,6,0,0,0,0,0,0,0,0
"Adam Henrique","25-26","EDM","C",51,687.08,2,7,1,10,72,101,129,11.84,2.78,1.98,11.72,62,31,10,25,31,7,2,0,0,-5,276,228,48
"Adam Klapka","25-26","CGY","R",65,694.25,5,5,4,14,65,115,154,8.9,7.69,4.35,7.74,42,24,13,248,67,22,10,5,5,-12,12,24,-12
"Adam Larsson","25-26","SEA","D",66,1417.93,5,8,6,19,72,105,161,2.56,6.94,4.76,2.44,137,44,13,88,73,18,3,0,0,-15,0,0,0
"Adam Lowry","25-26","WPG","C",54,793.35,4,8,5,17,56,101,127,10.79,7.14,3.96,10.68,37,30,13,113,37,3,6,3,3,3,381,323,58
"Adam Pelech","25-26","NYI","D",67,1408.27,4,5,4,13,97,172,260,4.66,4.12,2.33,2.71,110,59,31,50,95,17,11,0,0,-6,0,0,0
"Adam Wilsby","25-26","NSH","D",45,747.72,1,7,4,12,47,68,101,3.02,2.13,1.47,4.44,37,37,13,18,58,13,2,1,1,-11,0,0,0
"Adrian Kempe","25-26","L.A","R",66,1271.95,26,21,11,58,187,287,429,24.25,13.9,9.06,8.45,36,52,22,113,43,28,13,0,0,-15,51,91,-40
"Albert Johansson","25-26","DET","D",68,1107.67,2,3,4,9,48,83,147,1.95,4.17,2.41,2.35,86,51,21,48,96,7,12,0,0,5,0,0,0
"Alec Regula","25-26","EDM","D",29,419.6,0,1,2,3,18,32,51,0.63,0,0,1.97,44,28,7,15,50,10,2,1,1,-8,0,0,0
"Aleksanteri Kaskimaki","25-26","STL","C",5,51.97,0,0,0,0,6,8,8,0.25,0,0,3.12,3,2,0,2,7,0,1,0,0,1,1,1,0
"Alex Bump","25-26","PHI","L",5,71.25,2,0,1,3,7,13,18,1.23,28.57,15.38,9.46,1,5,1,3,5,1,0,0,0,-1,0,0,0
"Alex Carrier","25-26","MTL","D",66,1258.92,7,6,7,20,56,89,134,3.23,12.5,7.87,3.63,142,45,26,29,156,14,9,0,0,-5,0,0,0
"Alex Debrincat","25-26","DET","R",68,1243.4,33,18,18,69,234,359,469,33.95,14.1,9.19,9.46,32,70,33,30,53,6,10,0,0,4,17,29,-12
"Alex Holtz","25-26","VGK","R",28,321.47,3,2,4,9,30,53,71,6.37,10,5.66,12.02,11,20,1,29,28,5,1,0,0,-4,3,11,-8
"Alex Iafallo","25-26","WPG","L",66,1010.55,11,6,8,25,89,135,165,15.87,12.36,8.15,11.76,45,24,10,96,31,6,6,0,0,0,13,18,-5
"Alex Kerfoot","25-26","UTA","C",20,228.77,2,2,1,5,16,27,38,2.25,12.5,7.41,8.33,17,14,1,16,31,8,2,1,1,-6,48,50,-2
"Alex Killorn","25-26","ANA","L",67,1098.68,10,6,7,23,123,177,215,15.12,8.13,5.65,8.54,26,57,20,56,50,13,14,0,0,1,36,71,-35
"Alex Laferriere","25-26","L.A","R",67,1190.8,17,8,7,32,165,266,356,20.17,10.3,6.39,7.58,43,69,18,197,85,8,13,0,0,5,169,238,-69
"Alex Newhook","25-26","MTL","C",26,380.55,9,6,4,19,34,51,63,4.91,26.47,17.65,9.63,10,10,2,35,24,4,7,0,0,3,65,89,-24
"Alex Nikishin","25-26","CAR","D",65,1172.12,9,9,7,25,102,163,259,6.92,8.82,5.52,4.25,72,72,21,112,126,11,8,1,1,-3,0,0,0
"Alex Ovechkin","25-26","WSH","L",68,1200.2,24,20,7,51,195,316,441,29.08,12.31,7.59,9.2,14,52,8,112,25,12,7,0,0,-5,2,1,1
"Alex Petrovic","25-26","DAL","D",51,791.03,2,5,2,9,56,70,118,2.42,3.57,2.86,3.46,76,42,9,83,104,11,2,1,1,-9,0,0,0
"Alex Romanov","25-26","NYI","D",15,291.67,0,0,1,1,17,25,38,0.55,0,0,2.2,31,18,4,31,40,3,3,0,1,1,0,0,0
"Alex Steeves","25-26","BOS","C",41,491.47,9,3,4,16,52,82,105,7.11,17.31,10.98,8.67,26,22,9,140,52,6,9,2,2,3,3,4,-1
"Alex Texier","25-26","MTL","L",34,495.98,8,6,5,19,56,83,111,6.61,14.29,9.64,7.96,13,16,5,37,18,4,6,0,0,2,2,13,-11
"Alex Texier","25-26","STL","L",8,82.05,0,0,1,1,8,11,13,0.83,0,0,7.55,1,2,1,9,5,1,1,0,0,0,1,0,1
"Alex Tuch","25-26","BUF","R",65,1224.05,27,16,13,56,160,267,316,23.18,16.88,10.11,8.68,74,51,32,70,28,17,14,1,1,-3,29,39,-10
"Alex Turcotte","25-26","L.A","C",59,646.98,3,4,7,14,63,101,128,10.7,4.76,2.97,10.59,33,28,14,45,75,8,10,1,0,1,254,215,39
"Alex Vlasic","25-26","CHI","D",65,1374.82,2,10,5,17,66,106,172,2.84,3.03,1.89,2.68,94,75,20,23,128,4,9,1,1,5,0,0,0
"Alex Wennberg","25-26","S.J","C",64,1319.03,13,21,9,43,77,108,137,16.26,16.88,12.04,15.06,79,49,28,22,51,8,17,0,0,9,514,607,-93
"Alexei Toropchenko","25-26","STL","R",51,616.58,3,4,1,8,48,68,86,6.23,6.25,4.41,9.16,49,23,7,99,46,4,3,2,1,-2,1,2,-1
"Alexis Lafrenière","25-26","NYR","L",67,1160.32,19,13,12,44,130,213,268,23.18,14.62,8.92,10.88,40,39,17,79,80,8,13,0,0,5,7,23,-16
"Aliaksei Protas","25-26","WSH","C/L",64,1176.5,21,16,8,45,132,221,268,20.82,15.91,9.5,9.42,32,73,21,33,38,10,13,0,0,3,19,25,-6
"Anders Lee","25-26","NYI","L",67,1034.42,15,14,6,35,169,266,308,36.55,8.88,5.64,13.74,29,42,10,70,64,12,11,1,1,-1,61,51,10
"Andre Burakovsky","25-26","CHI","L",60,1018.4,11,10,10,31,72,106,159,10.78,15.28,10.38,10.17,29,49,23,18,64,7,8,0,0,1,4,6,-2
"Andre Lee","25-26","L.A","L",7,71.98,1,1,0,2,5,9,14,0.61,20,11.11,6.78,3,2,3,17,8,0,0,0,0,0,0,0,0
"Andrei Kuzmenko","25-26","L.A","L",52,775.62,13,3,9,25,69,120,173,11.13,18.84,10.83,9.28,14,50,10,18,44,8,16,0,0,8,0,0,0
"Andrei Svechnikov","25-26","CAR","R",66,1128.52,24,22,12,58,172,265,360,24.37,13.95,9.06,9.2,14,75,22,119,74,26,14,0,0,-12,9,9,0
"Andrew Copp","25-26","DET","C",65,1050.33,8,15,14,37,94,150,176,19.28,8.51,5.33,12.85,50,59,18,36,52,11,12,0,0,1,420,361,59
"Andrew Mangiapane","25-26","CHI","L",5,63.17,1,0,0,1,6,9,14,0.73,16.67,11.11,8.11,4,2,1,9,3,2,3,0,0,1,1,0,1
"Andrew Mangiapane","25-26","EDM","L",52,655.1,7,4,3,14,52,82,112,8.06,13.46,8.54,9.83,19,33,7,51,39,8,12,0,0,4,2,4,-2
"Andrew Peeke","25-26","BOS","D",63,1224.38,4,3,4,11,62,106,166,2.73,6.45,3.77,2.58,111,52,9,79,116,10,6,0,0,-4,0,0,0
"Angus Crookshank","25-26","N.J","C",8,68.85,1,0,0,1,4,6,9,0.38,25,16.67,6.33,7,2,0,5,11,2,1,0,0,-1,1,2,-1
"Anthony Beauvillier","25-26","WSH","L/R",68,1063.47,12,5,6,23,135,198,239,18.85,8.89,6.06,9.52,39,38,15,82,79,12,6,0,0,-6,30,28,2
"Anthony Cirelli","25-26","T.B","C",57,987.6,15,13,12,40,98,151,180,21.68,15.31,9.93,14.36,37,38,22,44,44,11,10,1,1,-1,416,436,-20
"Anthony Duclair","25-26","NYI","L",57,759.4,12,9,6,27,68,103,141,8.52,17.65,11.65,8.27,37,27,8,6,25,6,5,0,0,-1,4,5,-1
"Anthony Mantha","25-26","PIT","R",67,1009.43,26,14,12,52,125,171,231,17.33,20.8,15.2,10.13,34,68,15,42,36,13,15,1,1,2,9,27,-18
"Anton Lundell","25-26","FLA","C",62,1188.23,17,12,14,43,133,210,270,20.34,12.78,8.1,9.69,35,60,13,74,58,17,23,0,0,6,577,526,51
"Anze Kopitar","25-26","L.A","C",52,976.72,10,12,9,31,75,123,163,14.69,13.33,8.13,11.94,46,48,15,30,29,4,5,0,0,1,560,445,115
"Arber Xhekaj","25-26","MTL","D",55,620.08,1,1,0,2,36,53,104,1.22,2.78,1.89,2.3,34,32,2,149,82,19,8,8,8,-11,0,0,0
"Arseny Gritsyuk","25-26","N.J","R",63,952.7,12,12,5,29,141,206,260,13.21,8.51,5.83,6.41,18,45,22,54,70,13,9,0,0,-4,4,9,-5
"Arshdeep Bains","25-26","VAN","L",28,257.77,1,2,2,5,18,22,31,3.02,5.56,4.55,13.73,5,11,6,24,21,6,0,0,0,-6,2,12,-10
"Artem Zub","25-26","OTT","D",65,1316.93,4,9,11,24,71,122,182,3.03,5.63,3.28,2.48,92,65,21,59,88,20,5,0,0,-15,0,0,0
"Artemi Panarin","25-26","L.A","L",11,221.7,3,5,5,13,28,49,75,4.24,10.71,6.12,8.65,1,17,4,2,7,1,0,0,0,-1,0,0,0
"Artemi Panarin","25-26","NYR","L",52,1087.73,19,22,16,57,157,254,363,16.94,12.1,7.48,6.67,11,69,15,8,17,7,13,0,0,6,1,0,1
"Arttu Hyry","25-26","DAL","R",8,92.38,0,1,0,1,10,13,15,1.45,0,0,11.15,1,7,1,11,8,0,2,0,0,2,52,36,16
"Artturi Lehkonen","25-26","COL","L",59,1104.55,19,17,6,42,137,208,257,25.79,13.87,9.13,12.4,28,39,11,43,77,6,10,0,0,4,3,15,-12
"Artyom Levshunov","25-26","CHI","D",61,1171.58,2,6,15,23,72,107,183,4.06,2.78,1.87,3.79,65,78,15,79,108,19,7,0,0,-12,0,0,0
"Auston Matthews","25-26","TOR","C",60,1248.23,27,15,11,53,226,330,402,33.56,11.95,8.18,10.17,81,51,30,42,27,9,12,0,1,4,581,391,190
"Avery Hayes","25-26","PIT","R",11,116.83,2,0,0,2,19,31,36,2.24,10.53,6.45,7.23,7,5,3,13,15,1,4,2,2,3,1,4,-3
"Axel Sandin-Pellikka","25-26","DET","D",63,1027.88,6,6,7,19,62,109,188,3.19,9.68,5.5,2.93,51,54,8,16,132,9,5,0,0,-4,0,0,0
"Barclay Goodrow","25-26","S.J","C",65,739.42,5,2,4,11,54,77,100,8.26,9.26,6.49,10.73,51,30,10,100,51,12,8,2,2,-4,15,21,-6
"Barrett Hayton","25-26","UTA","C",63,966.72,10,6,8,24,115,165,200,21.41,8.7,6.06,12.98,28,40,12,34,55,21,16,0,0,-5,392,339,53
"Beck Malenstyn","25-26","BUF","L",66,731.83,6,5,0,11,56,83,106,7.7,10.71,7.23,9.28,65,30,10,233,96,7,13,2,2,6,8,12,-4
