"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"808","Carter Mazur","DET","L","1","1.1666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","0","1","0","1","-","1","1","0","100.00"
"461","Nathan Clurman","PIT","D","1","11.083333333333","21","6","77.78","16","4","80.00","12","3","80.00","0","0","-","1.25","0.1","92.65","11","2","84.62","5","2","71.43","0","0","-","6","0","100.00","0","0","-","8","4","66.67","0","0","-","0.00","100.00","1.000","0","2","0","15","-","1","2","1","50.00"
"634","Samuel Bolduc","NYI","D","1","5.9333333333333","7","2","77.78","4","1","80.00","3","1","75.00","0","1","0.00","0.21","0.14","60.95","5","1","83.33","0","1","0.00","0","1","0.00","5","0","100.00","0","0","-","4","1","80.00","0","0","-","0.00","0.00","0.000","1","0","0","10","100.00","4","1","0","100.00"
"515","Cameron Crotty","MIN","D","1","5.1333333333333","6","2","75.00","6","2","75.00","4","2","66.67","0","1","0.00","0.35","0.04","88.86","3","1","75.00","2","0","100.00","0","0","-","1","1","50.00","0","1","0.00","2","2","50.00","0","0","-","0.00","50.00","0.500","0","0","0","6","-","0","0","3","0.00"
"748","Riley Duran","BOS","C","2","25.45","26","9","74.29","20","8","71.43","14","7","66.67","0","1","0.00","0.92","0.42","68.32","9","2","81.82","3","2","60.00","0","1","0.00","6","0","100.00","0","0","-","16","10","61.54","0","0","-","0.00","85.71","0.857","2","12","3","20","40.00","5","16","5","50.00"
"920","Tim Washe","ANA","C","2","15.466666666667","26","11","70.27","21","8","72.41","14","6","70.00","1","1","50.00","1.4","0.33","81.00","11","2","84.62","5","1","83.33","1","0","100.00","6","1","85.71","0","0","-","11","11","50.00","0","1","0.00","7.14","83.33","0.905","0","0","4","21","0.00","1","1","7","12.50"
"701","Justin Sourdif","FLA","R","1","9.45","7","3","70.00","4","2","66.67","4","0","100.00","1","0","100.00","0.31","0.07","81.03","3","1","75.00","2","0","100.00","1","0","100.00","1","1","50.00","0","0","-","4","4","50.00","0","0","-","25.00","-","0.25","2","3","2","8","50.00","4","4","3","57.14"
"706","Daemon Hunt","MIN","D","1","8.0166666666667","15","7","68.18","11","4","73.33","5","2","71.43","0","0","-","0.47","0.25","64.73","7","3","70.00","2","2","50.00","0","0","-","5","1","83.33","0","0","-","8","2","80.00","0","0","-","0.00","100.00","1.000","0","2","1","5","0.00","1","3","1","50.00"
"815","Ville Ottavainen","SEA","D","1","14.4","15","7","68.18","10","4","71.43","5","1","83.33","1","1","50.00","0.49","0.21","70.13","6","4","60.00","1","1","50.00","0","1","0.00","5","3","62.50","1","0","100.00","7","3","70.00","0","0","-","20.00","0.00","0.200","1","4","1","10","50.00","4","7","1","80.00"
"188","Shayne Gostisbehere","CAR","D","70","1296.4666666667","1736","822","67.87","1256","618","67.02","794","418","65.51","90","50","64.29","92.39","49.02","65.34","858","407","67.83","323","186","63.46","46","18","71.88","535","221","70.77","29","17","63.04","1091","422","72.11","15","12","55.56","11.34","88.04","0.994","298","235","82","807","78.42","621","366","242","71.96"
"824","Taylor Ward","L.A","R","1","14.866666666667","16","8","66.67","13","6","68.42","9","4","69.23","1","0","100.00","0.8","0.26","75.20","6","2","75.00","4","1","80.00","1","0","100.00","2","1","66.67","0","0","-","10","6","62.50","0","0","-","11.11","100.00","1.111","2","4","3","10","40.00","5","6","4","55.56"
"404","Matthew Tkachuk","FLA","L","52","948.03333333333","1339","689","66.03","981","531","64.88","649","375","63.38","76","49","60.80","79.05","41.59","65.53","678","295","69.68","293","137","68.14","45","21","68.18","385","158","70.90","15","12","55.56","829","407","67.07","15","9","62.50","11.71","86.93","0.986","246","211","113","591","68.52","485","308","228","68.02"
"806","Justin Robidas","CAR","C","2","22.283333333333","29","15","65.91","19","12","61.29","14","8","63.64","2","1","66.67","1.54","0.7","68.70","16","10","61.54","5","3","62.50","2","1","66.67","11","7","61.11","0","0","-","15","6","71.43","0","0","-","14.29","87.50","1.018","7","6","3","14","70.00","10","8","5","66.67"
"811","Jackson Blake","CAR","R","80","1107.6666666667","1418","737","65.80","1006","530","65.49","679","340","66.63","60","31","65.93","72.58","35.46","67.18","685","331","67.42","273","145","65.31","35","16","68.63","412","186","68.90","15","8","65.22","881","405","68.51","9","7","56.25","8.84","90.88","0.997","284","202","101","745","73.77","496","306","234","67.95"
"891","Bradly Nadeau","CAR","L","2","22.966666666667","30","16","65.22","27","14","65.85","21","9","70.00","2","2","50.00","2.24","1.19","65.35","15","6","71.43","10","0","100.00","2","0","100.00","5","6","45.45","0","1","0.00","17","11","60.71","0","0","-","9.52","77.78","0.873","7","1","3","19","70.00","9","3","4","69.23"
"248","Jonathan Drouin","COL","L","43","781.85","1050","562","65.14","732","412","63.99","480","269","64.09","68","39","63.55","47.63","33.91","58.41","490","275","64.05","167","126","57.00","22","23","48.89","323","149","68.43","29","10","74.36","711","317","69.16","16","5","76.19","14.17","85.50","0.997","193","116","62","499","75.69","404","194","164","71.13"
"334","Connor McDavid","EDM","C","67","1476.1","1960","1059","64.92","1432","803","64.07","990","544","64.54","126","67","65.28","118.71","61.69","65.80","1008","507","66.53","431","218","66.41","65","28","69.89","577","289","66.63","32","29","52.46","1213","580","67.65","28","5","84.85","12.73","87.68","1.004","289","243","117","764","71.18","734","370","290","71.68"
"505","Martin Necas","CAR, COL","C","79","1500.8833333333","1982","1078","64.77","1460","815","64.18","943","556","62.91","121","64","65.41","106.07","66.69","61.40","969","533","64.51","356","249","58.84","55","32","63.22","613","284","68.34","39","20","66.10","1266","570","68.95","27","9","75.00","12.83","88.49","1.013","336","267","100","873","77.06","719","389","292","71.12"
"105","Zach Hyman","EDM","L","73","1378.35","1809","1027","63.79","1345","757","63.99","920","510","64.34","107","59","64.46","112.27","56.81","66.40","921","487","65.41","412","194","67.99","52","30","63.41","509","293","63.47","32","20","61.54","1158","574","66.86","23","5","82.14","11.63","88.43","1.001","343","234","116","765","74.73","719","345","278","72.12"
"551","Evan Bouchard","EDM","D","82","1923.5833333333","2478","1411","63.72","1807","1061","63.01","1258","709","63.96","135","77","63.68","140.65","79.95","63.76","1230","700","63.73","516","296","63.55","68","38","64.15","714","404","63.86","42","26","61.76","1551","759","67.14","24","10","70.59","10.73","89.14","0.999","308","317","175","1118","63.77","911","487","414","68.75"
"246","Nathan MacKinnon","COL","C","79","1799.8166666667","2423","1383","63.66","1738","1008","63.29","1174","658","64.08","151","76","66.52","142.26","82.69","63.24","1287","664","65.97","479","294","61.97","58","39","59.79","808","370","68.59","49","15","76.56","1503","761","66.39","34","12","73.91","12.86","88.45","1.013","453","332","151","962","75.00","1015","508","428","70.34"
"703","Jack Finley","T.B","C","1","8.4166666666667","7","4","63.64","6","3","66.67","5","2","71.43","1","0","100.00","0.22","0.25","46.85","3","2","60.00","2","2","50.00","1","0","100.00","1","0","100.00","0","0","-","6","2","75.00","0","0","-","20.00","100.00","1.200","4","1","0","10","100.00","7","2","0","100.00"
"560","Andrei Svechnikov","CAR","R","72","1232.1833333333","1664","954","63.56","1192","730","62.02","757","499","60.27","85","60","58.62","88.82","59.17","60.02","780","465","62.65","281","220","56.09","34","34","50.00","499","245","67.07","29","15","65.91","1086","509","68.09","22","8","73.33","11.23","87.98","0.992","328","241","116","735","73.87","616","347","276","69.06"
"228","Carter Verhaeghe","FLA","C","81","1447.4","1962","1128","63.50","1426","864","62.27","961","592","61.88","92","74","55.42","106.85","61.56","63.45","965","468","67.34","388","202","65.76","48","34","58.54","577","266","68.45","23","16","58.97","1180","654","64.34","20","14","58.82","9.57","87.50","0.971","332","296","162","958","67.21","635","419","315","66.84"
"345","Sebastian Aho","CAR","C","79","1587.9166666667","2092","1213","63.30","1551","922","62.72","966","642","60.07","120","86","58.25","117.8","80.07","59.54","1022","593","63.28","388","274","58.61","54","36","60.00","634","319","66.53","35","25","58.33","1331","642","67.46","29","22","56.86","12.42","86.60","0.990","380","225","133","994","74.07","759","349","333","69.51"
"276","Leon Draisaitl","EDM","C","71","1527.7333333333","2003","1168","63.17","1503","880","63.07","1060","589","64.28","130","56","69.89","125.63","65.57","65.70","1025","568","64.34","438","219","66.67","63","22","74.12","587","349","62.71","38","22","63.33","1256","654","65.76","27","7","79.41","12.26","90.49","1.028","333","272","175","772","65.55","777","401","367","67.92"
"354","Mathew Barzal","NYI","C","30","610.48333333333","815","484","62.74","578","336","63.24","378","232","61.97","37","22","62.71","41.73","22.51","64.96","405","218","65.01","151","90","62.66","19","7","73.08","254","128","66.49","10","8","55.56","503","270","65.07","6","3","66.67","9.79","90.52","1.003","112","102","64","370","63.64","254","161","138","64.80"
"247","Aleksander Barkov","FLA","C","67","1357.2833333333","1801","1071","62.71","1291","794","61.92","837","528","61.32","93","67","58.13","100.71","64.72","60.88","879","472","65.06","371","209","63.97","50","32","60.98","508","263","65.89","24","11","68.57","1141","701","61.94","18","15","54.55","11.11","87.31","0.984","351","274","270","756","56.52","644","389","433","59.80"
"911","Juha Jaaska","CAR","L","18","160.71666666667","177","106","62.54","132","79","62.56","85","46","64.89","6","6","50.00","6.42","3.98","61.74","58","55","51.33","23","15","60.53","4","3","57.14","35","40","46.67","1","3","25.00","133","57","70.00","1","0","100.00","7.06","86.96","0.940","38","36","16","130","70.37","60","48","36","62.50"
"477","Kailer Yamamoto","UTA","R","12","145.35","184","111","62.37","133","89","59.91","83","61","57.64","6","3","66.67","11.47","5.3","68.39","88","46","65.67","40","20","66.67","2","2","50.00","48","26","64.86","2","0","100.00","107","77","58.15","2","1","66.67","7.23","95.08","1.023","22","21","21","137","51.16","43","24","39","52.44"
"281","Kevin Fiala","L.A","L","81","1499.6","1844","1129","62.02","1338","790","62.88","862","530","61.93","86","62","58.11","91.33","54.26","62.73","834","494","62.80","334","198","62.78","32","30","51.61","500","296","62.81","28","16","63.64","1197","649","64.84","25","13","65.79","9.98","88.30","0.983","270","204","158","965","63.08","614","383","351","63.63"
"650","Ryan Suzuki","CAR","C","2","13.183333333333","13","8","61.90","8","7","53.33","5","4","55.56","1","0","100.00","0.52","0.27","65.88","4","5","44.44","3","0","100.00","1","0","100.00","1","5","16.67","0","0","-","10","4","71.43","0","0","-","20.00","100.00","1.200","3","1","1","13","75.00","6","1","2","75.00"
