"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"1","Jaromir Jagr","BOS, DAL","R","45","2.6833333333333","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","1","3","0","4","100.00","2","4","0","100.00"
"51","Tomas Kaberle","MTL","D","10","0.65","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"180","Cody McCormick","BUF","C","8","1.75","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","1","2","0.00","0","0","1","0.00"
"229","Ian White","DET","D","25","0.71666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","0","5","100.00","1","1","0","100.00"
"300","David Clarkson","N.J","R","48","1.0666666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","2","0","2","-","0","2","0","-"
"344","Mikhail Grabovski","TOR","C","48","1.6833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","1","5","0.00","0","1","1","0.00"
"634","Nick Leddy","CHI","D","48","0.35","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","1","1","0.00","0","0","1","0.00"
"640","Ben Hanowski","CGY","R","5","0.73333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"642","Dmitry Orlov","WSH","D","5","1.1166666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","1","-","1","0","0","100.00"
"674","Mats Zuccarello","NYR","R","15","0.15","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.14","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","100.00","-","1.00","0","0","0","1","-","0","0","0","-"
"695","Tyler Seguin","BOS","C","48","0.83333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"724","Nathan Beaulieu","MTL","D","6","0.65","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"726","Cameron Schilling","WSH","D","1","0.066666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"731","Alex Galchenyuk","MTL","C","48","1.3333333333333","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","0","-","0","1","0","-"
"367","Bobby Ryan","ANA","R","46","3.5666666666667","3","1","75.00","3","1","75.00","3","0","100.00","0","0","-","0.09","0.02","81.59","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","-","0.00","1","2","0","8","100.00","1","2","0","100.00"
"424","Nick Foligno","CBJ","L","45","3.9333333333333","3","1","75.00","1","1","50.00","1","1","50.00","0","1","0.00","0.13","0.81","13.33","2","1","66.67","0","1","0.00","0","1","0.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","0.00","0.000","2","1","1","10","66.67","2","1","2","50.00"
