"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"35","Derek Armstrong","STL","C","6","5.5666666666667","13","0","100.00","11","0","100.00","6","0","100.00","0","0","-","1.37","0","100.00","6","0","100.00","4","0","100.00","0","0","-","2","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","0","0","1","9","0.00","2","1","1","66.67"
"37","Stephane Yelle","CAR, COL","C","70","6.85","5","0","100.00","4","0","100.00","3","0","100.00","0","0","-","0.16","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","2","4","0","15","100.00","2","5","0","100.00"
"47","Shean Donovan","OTT","R","30","3.0166666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","1","0","3","100.00","2","2","0","100.00"
"59","Hal Gill","MTL","D","68","5.05","8","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.31","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","1","2","21","60.00","3","1","2","60.00"
"67","Nolan Baumgartner","VAN","D","12","0.76666666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","1","1","50.00","1","0","1","50.00"
"73","Dave Scatchard","NSH","C","16","4.6833333333333","13","0","100.00","11","0","100.00","9","0","100.00","1","0","100.00","0.96","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0","0","-","0","0","-","10","0","100.00","1","0","100.00","11.11","-","0.11","4","3","2","7","66.67","4","3","2","66.67"
"82","Brad Lukowich","VAN","D","13","1.2","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","1","100.00","1","1","0","100.00"
"84","Bryce Salvador","N.J","D","79","7.7833333333333","5","0","100.00","5","0","100.00","3","0","100.00","1","0","100.00","0.47","0","100.00","3","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","0","0","-","2","0","100.00","0","0","-","33.33","-","0.33","3","2","1","24","75.00","3","2","1","75.00"
"87","Eric Boulton","ATL","L","62","1.9166666666667","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","100.00","-","1.00","4","1","0","2","100.00","4","1","1","80.00"
"156","Quintin Laing","WSH","L","36","2.3833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","4","1","0","3","100.00","5","1","0","100.00"
