"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"216","Nathan MacKinnon","COL","C","61","997.85","26","36","24","12","62","76.54","172","15.12","15.77","298","227","169","61","7","20","14","7","7","0","0","14","99","14","39","49","24","438","444","49.66"
"117","Nikita Kucherov","T.B","R","57","824.7","19","33","18","15","52","83.87","105","18.10","11.2","257","184","118","36","3","18","22","11","11","0","0","18","56","15","20","32","22","0","0","-"
"444","Martin Necas","COL","C","59","945.53333333333","18","32","18","14","50","69.44","98","18.37","10.36","214","146","122","40","2","15","24","12","12","0","0","20","74","12","61","74","20","7","6","53.85"
"124","Mark Scheifele","WPG","C","62","1021.4","20","29","19","10","49","79.03","82","24.39","12.88","168","136","132","62","2","14","10","5","5","0","0","17","65","18","22","75","31","350","406","46.30"
"858","Macklin Celebrini","S.J","C","61","948.73333333333","20","28","19","9","48","84.21","118","16.95","12.93","223","172","149","52","3","26","24","12","12","0","0","27","77","28","30","58","35","386","414","48.25"
"296","Connor McDavid","EDM","C","63","1065.2166666667","16","28","17","11","44","74.58","138","11.59","18.34","252","209","168","75","2","27","20","10","10","0","0","29","82","18","29","67","22","279","309","47.45"
"293","Kyle Connor","WPG","L","62","988.83333333333","18","24","15","9","42","72.41","146","12.33","13.5","255","199","152","53","1","23","16","8","8","0","0","9","40","12","16","27","10","0","0","-"
"260","Ivan Barbashev","VGK","L","63","942.31666666667","17","24","16","8","41","77.36","87","19.54","11.12","160","131","114","63","4","12","10","5","5","0","0","9","66","14","97","64","31","6","29","17.14"
"243","Leon Draisaitl","EDM","C","60","982.35","16","24","17","7","40","68.97","93","17.20","11","187","150","92","33","2","15","22","11","11","0","0","10","81","23","27","46","13","409","320","56.10"
"318","Zach Werenski","CBJ","D","55","1122.4333333333","16","23","9","14","39","60.00","140","11.43","6.64","334","215","116","9","3","26","12","6","6","0","0","7","73","18","21","71","60","0","0","-"
"254","Nick Schmaltz","UTA","C","63","895.7","17","21","14","7","38","71.70","100","17.00","11.56","205","150","113","52","6","17","18","9","9","0","0","14","59","27","12","51","36","257","305","45.73"
"258","David Pastrnak","BOS","R","58","883.18333333333","12","26","22","4","38","82.61","130","9.23","10.94","284","194","121","42","5","24","26","13","13","0","0","22","82","17","60","51","21","1","2","33.33"
"326","Mitch Marner","VGK","R","62","853.98333333333","13","25","16","9","38","79.17","80","16.25","8.44","170","122","92","40","3","14","12","6","6","0","0","10","60","19","20","42","29","108","154","41.22"
"394","Tage Thompson","BUF","C","63","909.41666666667","26","12","11","1","38","82.61","148","17.57","15.84","284","210","142","58","4","33","25","10","9","1","0","12","46","18","56","52","31","255","298","46.11"
"252","Alex Tuch","BUF","R","62","846.56666666667","14","23","11","12","37","72.55","107","13.08","11.56","223","184","108","48","0","19","41","15","13","1","1","7","41","23","52","22","44","23","26","46.94"
"335","Artemi Panarin","L.A, NYR","L","58","946.5","14","23","12","11","37","75.51","103","13.59","8.75","243","168","120","24","7","17","14","7","7","0","0","12","63","13","8","14","9","0","0","-"
