player_id,first_name,last_name,full_name,position,team,jersey,headshot_url
8479525,Ross,Colton,Ross Colton,C,COL,20.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479525.png
8477494,Jonathan,Drouin,Jonathan Drouin,L,COL,27.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8477494.png
8480835,Jack,Drury,Jack Drury,C,COL,18.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8480835.png
8480448,Parker,Kelly,Parker Kelly,C,COL,17.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8480448.png
8481641,Joel,Kiviranta,Joel Kiviranta,L,COL,94.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8481641.png
8476455,Gabriel,Landeskog,Gabriel Landeskog,L,COL,92.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8476455.png
8477476,Artturi,Lehkonen,Artturi Lehkonen,L,COL,62.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8477476.png
8477492,Nathan,MacKinnon,Nathan MacKinnon,C,COL,29.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8477492.png
8480039,Martin,Necas,Martin Necas,C,COL,88.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8480039.png
8475754,Brock,Nelson,Brock Nelson,C,COL,11.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8475754.png
8477501,Valeri,Nichushkin,Valeri Nichushkin,R,COL,13.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8477501.png
8481186,Logan,O'Connor,Logan O'Connor,R,COL,25.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8481186.png
8476918,Jimmy,Vesey,Jimmy Vesey,L,COL,26.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8476918.png
8479398,Samuel,Girard,Samuel Girard,D,COL,49.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479398.png
8473446,Erik,Johnson,Erik Johnson,D,COL,6.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8473446.png
8479324,Ryan,Lindgren,Ryan Lindgren,D,COL,55.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479324.png
8480069,Cale,Makar,Cale Makar,D,COL,8.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8480069.png
8484258,Sam,Malinski,Sam Malinski,D,COL,70.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8484258.png
8476312,Josh,Manson,Josh Manson,D,COL,42.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8476312.png
8479387,Keaton,Middleton,Keaton Middleton,D,COL,67.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479387.png
8478038,Devon,Toews,Devon Toews,D,COL,7.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8478038.png
8478406,Mackenzie,Blackwood,Mackenzie Blackwood,G,COL,39.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8478406.png
8475809,Scott,Wedgewood,Scott Wedgewood,G,COL,41.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8475809.png
8473994,Jamie,Benn,Jamie Benn,L,DAL,14.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8473994.png
8476278,Colin,Blackwell,Colin Blackwell,C,DAL,15.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476278.png
8482145,Mavrik,Bourque,Mavrik Bourque,C,DAL,22.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8482145.png
8480840,Oskar,Bäck,Oskar Bäck,C,DAL,10.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480840.png
8474149,Evgenii,Dadonov,Evgenii Dadonov,R,DAL,63.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png
8475168,Matt,Duchene,Matt Duchene,C,DAL,95.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475168.png
8475798,Mikael,Granlund,Mikael Granlund,C,DAL,64.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475798.png
8478449,Roope,Hintz,Roope Hintz,C,DAL,24.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478449.png
8482740,Wyatt,Johnston,Wyatt Johnston,C,DAL,53.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8482740.png
8478420,Mikko,Rantanen,Mikko Rantanen,R,DAL,96.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478420.png
8480027,Jason,Robertson,Jason Robertson,L,DAL,21.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480027.png
8475794,Tyler,Seguin,Tyler Seguin,C,DAL,91.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475794.png
8479351,Sam,Steel,Sam Steel,C,DAL,18.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479351.png
8483425,Lian,Bichsel,Lian Bichsel,D,DAL,6.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8483425.png
8476879,Cody,Ceci,Cody Ceci,D,DAL,44.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476879.png
8476856,Mathew,Dumba,Mathew Dumba,D,DAL,3.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476856.png
8481581,Thomas,Harley,Thomas Harley,D,DAL,55.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8481581.png
8480036,Miro,Heiskanen,Miro Heiskanen,D,DAL,4.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png
8476902,Esa,Lindell,Esa Lindell,D,DAL,23.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476902.png
8480878,Nils,Lundkvist,Nils Lundkvist,D,DAL,5.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480878.png
