player_id,first_name,last_name,full_name,position,team,jersey,headshot_url
8482947,Zakhar,Bardakov,Zakhar Bardakov,C,COL,93,https://assets.nhle.com/mugs/nhl/20252026/COL/8482947.png
8484149,Gavin,Brindley,Gavin Brindley,C,COL,54,https://assets.nhle.com/mugs/nhl/20252026/COL/8484149.png
8479525,Ross,Colton,Ross Colton,C,COL,20,https://assets.nhle.com/mugs/nhl/20252026/COL/8479525.png
8480835,Jack,Drury,Jack Drury,C,COL,18,https://assets.nhle.com/mugs/nhl/20252026/COL/8480835.png
8475172,Nazem,Kadri,Nazem Kadri,C,COL,91,https://assets.nhle.com/mugs/nhl/20252026/COL/8475172.png
8480448,Parker,Kelly,Parker Kelly,C,COL,17,https://assets.nhle.com/mugs/nhl/20252026/COL/8480448.png
8481641,Joel,Kiviranta,Joel Kiviranta,L,COL,94,https://assets.nhle.com/mugs/nhl/20252026/COL/8481641.png
8476455,Gabriel,Landeskog,Gabriel Landeskog,L,COL,92,https://assets.nhle.com/mugs/nhl/20252026/COL/8476455.png
8477476,Artturi,Lehkonen,Artturi Lehkonen,L,COL,62,https://assets.nhle.com/mugs/nhl/20252026/COL/8477476.png
8477492,Nathan,MacKinnon,Nathan MacKinnon,C,COL,29,https://assets.nhle.com/mugs/nhl/20252026/COL/8477492.png
8480039,Martin,Necas,Martin Necas,C,COL,88,https://assets.nhle.com/mugs/nhl/20252026/COL/8480039.png
8475754,Brock,Nelson,Brock Nelson,C,COL,11,https://assets.nhle.com/mugs/nhl/20252026/COL/8475754.png
8477501,Valeri,Nichushkin,Valeri Nichushkin,R,COL,13,https://assets.nhle.com/mugs/nhl/20252026/COL/8477501.png
8478462,Nicolas,Roy,Nicolas Roy,C,COL,10,https://assets.nhle.com/mugs/nhl/20252026/COL/8478462.png
8483565,Nick,Blankenburg,Nick Blankenburg,D,COL,37,https://assets.nhle.com/mugs/nhl/20252026/COL/8483565.png
8470613,Brent,Burns,Brent Burns,D,COL,84,https://assets.nhle.com/mugs/nhl/20252026/COL/8470613.png
8476967,Brett,Kulak,Brett Kulak,D,COL,27,https://assets.nhle.com/mugs/nhl/20252026/COL/8476967.png
8480069,Cale,Makar,Cale Makar,D,COL,8,https://assets.nhle.com/mugs/nhl/20252026/COL/8480069.png
8484258,Sam,Malinski,Sam Malinski,D,COL,70,https://assets.nhle.com/mugs/nhl/20252026/COL/8484258.png
8476312,Josh,Manson,Josh Manson,D,COL,42,https://assets.nhle.com/mugs/nhl/20252026/COL/8476312.png
8478038,Devon,Toews,Devon Toews,D,COL,7,https://assets.nhle.com/mugs/nhl/20252026/COL/8478038.png
8478406,Mackenzie,Blackwood,Mackenzie Blackwood,G,COL,39,https://assets.nhle.com/mugs/nhl/20252026/COL/8478406.png
8475809,Scott,Wedgewood,Scott Wedgewood,G,COL,41,https://assets.nhle.com/mugs/nhl/20252026/COL/8475809.png
8479414,Nathan,Bastian,Nathan Bastian,R,DAL,11,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479414.png
8473994,Jamie,Benn,Jamie Benn,L,DAL,14,https://assets.nhle.com/mugs/nhl/20252026/DAL/8473994.png
8476278,Colin,Blackwell,Colin Blackwell,C,DAL,15,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476278.png
8482145,Mavrik,Bourque,Mavrik Bourque,C,DAL,22,https://assets.nhle.com/mugs/nhl/20252026/DAL/8482145.png
8478047,Michael,Bunting,Michael Bunting,L,DAL,58,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478047.png
8480840,Oskar,Bäck,Oskar Bäck,C,DAL,10,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480840.png
8475168,Matt,Duchene,Matt Duchene,C,DAL,95,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475168.png
8477454,Adam,Erne,Adam Erne,L,DAL,73,https://assets.nhle.com/mugs/nhl/20252026/DAL/8477454.png
8476889,Radek,Faksa,Radek Faksa,C,DAL,12,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476889.png
8478449,Roope,Hintz,Roope Hintz,C,DAL,24,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478449.png
8484829,Justin,Hryckowian,Justin Hryckowian,C,DAL,49,https://assets.nhle.com/mugs/nhl/20252026/DAL/8484829.png
8484938,Arttu,Hyry,Arttu Hyry,R,DAL,25,https://assets.nhle.com/mugs/nhl/20252026/DAL/8484938.png
8482740,Wyatt,Johnston,Wyatt Johnston,C,DAL,53,https://assets.nhle.com/mugs/nhl/20252026/DAL/8482740.png
8478420,Mikko,Rantanen,Mikko Rantanen,R,DAL,96,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478420.png
8480027,Jason,Robertson,Jason Robertson,L,DAL,21,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480027.png
8475794,Tyler,Seguin,Tyler Seguin,C,DAL,91,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475794.png
8479351,Sam,Steel,Sam Steel,C,DAL,18,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479351.png
8483425,Lian,Bichsel,Lian Bichsel,D,DAL,6,https://assets.nhle.com/mugs/nhl/20252026/DAL/8483425.png
8478476,Kyle,Capobianco,Kyle Capobianco,D,DAL,20,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478476.png
8481581,Thomas,Harley,Thomas Harley,D,DAL,55,https://assets.nhle.com/mugs/nhl/20252026/DAL/8481581.png
8480036,Miro,Heiskanen,Miro Heiskanen,D,DAL,4,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480036.png
8476902,Esa,Lindell,Esa Lindell,D,DAL,23,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476902.png
8480878,Nils,Lundkvist,Nils Lundkvist,D,DAL,5,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480878.png
8480950,Ilya,Lyubushkin,Ilya Lyubushkin,D,DAL,46,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480950.png
8474574,Tyler,Myers,Tyler Myers,D,DAL,57,https://assets.nhle.com/mugs/nhl/20252026/DAL/8474574.png
8475755,Alexander,Petrovic,Alexander Petrovic,D,DAL,28,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475755.png
8479193,Casey,DeSmith,Casey DeSmith,G,DAL,1,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479193.png
8479979,Jake,Oettinger,Jake Oettinger,G,DAL,29,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479979.png
8478427,Sebastian,Aho,Sebastian Aho,C,CAR,20,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478427.png
8482809,Jackson,Blake,Jackson Blake,R,CAR,53,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png
8477478,William,Carrier,William Carrier,L,CAR,28,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png
8475235,Nicolas,Deslauriers,Nicolas Deslauriers,L,CAR,44,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475235.png
8477940,Nikolaj,Ehlers,Nikolaj Ehlers,L,CAR,27,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png
8475791,Taylor,Hall,Taylor Hall,L,CAR,71,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png
8476873,Mark,Jankowski,Mark Jankowski,L,CAR,77,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png
8482093,Seth,Jarvis,Seth Jarvis,C,CAR,24,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482093.png
8480829,Jesperi,Kotkaniemi,Jesperi Kotkaniemi,C,CAR,82,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480829.png
8476921,Jordan,Martinook,Jordan Martinook,L,CAR,48,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476921.png
8480762,Eric,Robinson,Eric Robinson,L,CAR,50,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480762.png
8473533,Jordan,Staal,Jordan Staal,C,CAR,11,https://assets.nhle.com/mugs/nhl/20252026/CAR/8473533.png
8482702,Logan,Stankoven,Logan Stankoven,C,CAR,22,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482702.png
8480830,Andrei,Svechnikov,Andrei Svechnikov,R,CAR,37,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480830.png
8478970,Jalen,Chatfield,Jalen Chatfield,D,CAR,5,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478970.png
8476906,Shayne,Gostisbehere,Shayne Gostisbehere,D,CAR,4,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476906.png
8480817,K'Andre,Miller,K'Andre Miller,D,CAR,19,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480817.png
8482100,Alexander,Nikishin,Alexander Nikishin,D,CAR,21,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482100.png
8476422,Mike,Reilly,Mike Reilly,D,CAR,6,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476422.png
8476958,Jaccob,Slavin,Jaccob Slavin,D,CAR,74,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476958.png
8480336,Sean,Walker,Sean Walker,D,CAR,26,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480336.png
8475883,Frederik,Andersen,Frederik Andersen,G,CAR,31,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475883.png
8483548,Brandon,Bussi,Brandon Bussi,G,CAR,32,https://assets.nhle.com/mugs/nhl/20252026/CAR/8483548.png
8481611,Pyotr,Kochetkov,Pyotr Kochetkov,G,CAR,52,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481611.png
8481557,Matt,Boldy,Matt Boldy,L,MIN,12,https://assets.nhle.com/mugs/nhl/20252026/MIN/8481557.png
8481553,Bobby,Brink,Bobby Brink,R,MIN,10,https://assets.nhle.com/mugs/nhl/20252026/MIN/8481553.png
8478493,Joel,Eriksson Ek,Joel Eriksson Ek,C,MIN,14,https://assets.nhle.com/mugs/nhl/20252026/MIN/8478493.png
8477952,Robby,Fabbri,Robby Fabbri,C,MIN,21,https://assets.nhle.com/mugs/nhl/20252026/MIN/8477952.png
8475220,Marcus,Foligno,Marcus Foligno,L,MIN,17,https://assets.nhle.com/mugs/nhl/20252026/MIN/8475220.png
8473422,Nick,Foligno,Nick Foligno,L,MIN,71,https://assets.nhle.com/mugs/nhl/20252026/MIN/8473422.png
8477451,Ryan,Hartman,Ryan Hartman,R,MIN,38,https://assets.nhle.com/mugs/nhl/20252026/MIN/8477451.png
8475149,Marcus,Johansson,Marcus Johansson,L,MIN,90,https://assets.nhle.com/mugs/nhl/20252026/MIN/8475149.png
8478864,Kirill,Kaprizov,Kirill Kaprizov,L,MIN,97,https://assets.nhle.com/mugs/nhl/20252026/MIN/8478864.png
8477446,Michael,McCarron,Michael McCarron,C,MIN,47,https://assets.nhle.com/mugs/nhl/20252026/MIN/8477446.png
8481477,Nico,Sturm,Nico Sturm,C,MIN,78,https://assets.nhle.com/mugs/nhl/20252026/MIN/8481477.png
8475765,Vladimir,Tarasenko,Vladimir Tarasenko,R,MIN,91,https://assets.nhle.com/mugs/nhl/20252026/MIN/8475765.png
8478508,Yakov,Trenin,Yakov Trenin,C,MIN,13,https://assets.nhle.com/mugs/nhl/20252026/MIN/8478508.png
8483525,Danila,Yurov,Danila Yurov,R,MIN,22,https://assets.nhle.com/mugs/nhl/20252026/MIN/8483525.png
8475692,Mats,Zuccarello,Mats Zuccarello,R,MIN,36,https://assets.nhle.com/mugs/nhl/20252026/MIN/8475692.png
8474567,Zach,Bogosian,Zach Bogosian,D,MIN,24,https://assets.nhle.com/mugs/nhl/20252026/MIN/8474567.png
8476463,Jonas,Brodin,Jonas Brodin,D,MIN,25,https://assets.nhle.com/mugs/nhl/20252026/MIN/8476463.png
